UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
110002: SECRETARIA NACIONAL DE POLÍTICAS SOBRE DROGAS,"5: PREGÃO                                            ",1,11000205000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/11000205000000001/itens
153103: UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,"5: PREGÃO                                            ",1,15310305000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15310305000000001/itens
170024: DELEGACIA DA REC.FEDERAL EM MACAPA/AP,"5: PREGÃO                                            ",1,17002405000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/17002405000000001/itens
255009: FNS-FUNDACAO NACIONAL DE SAUDE/GO,"5: PREGÃO                                            ",1,25500905000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25500905000000001/itens
752000: DIRETORIA DE PORTOS E COSTAS,"5: PREGÃO                                            ",1,75200005000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/75200005000000001/itens
782802: CENTRO DE INTENDENCIA DA MARINHA EM SALVADOR,"5: PREGÃO                                            ",1,78280205000000001,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/78280205000000001/itens
130029: SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,"5: PREGÃO                                            ",2,13002905000000002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13002905000000002/itens
170024: DELEGACIA DA REC.FEDERAL EM MACAPA/AP,"5: PREGÃO                                            ",2,17002405000000002,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/17002405000000002/itens
153223: CENTRO FED.DE EDUCAÇÃO TECNOL.DE RIO POMBA,"2: TOMADA DE PREÇOS                                  ",3,15322302000000003,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15322302000000003/itens
250059: INSTITUTO NACIONAL DE CARDIOLOGIA,"5: PREGÃO                                            ",4,25005905000000004,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25005905000000004/itens
253002: AGENCIA NACIONAL DE VIGILANCIA SANITARIA - DF,"5: PREGÃO                                            ",7,25300205000000007,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/25300205000000007/itens
133080: INCRA-SUPERINTENDENCIA REG. DO SUL DO PARA,"2: TOMADA DE PREÇOS                                  ",11,13308002000000011,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/13308002000000011/itens
114637: CENTRO DE DOCUMENTAçãO E DISSEMINAçãO DE INF,"5: PREGÃO                                            ",12,11463705000000012,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/11463705000000012/itens
125007: CENTRO DE SUPORTE ADMINISTRATIVO DE BRASILIA,"5: PREGÃO                                            ",17,12500705000000017,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/12500705000000017/itens
193002: DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS/CE,"3: CONCORRÊNCIA                                      ",32,19300203000000032,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/19300203000000032/itens
153045: UNIVERSIDADE FEDERAL DO CEARA,"2: TOMADA DE PREÇOS                                  ",39,15304502000000039,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15304502000000039/itens
782802: CENTRO DE INTENDENCIA DA MARINHA EM SALVADOR,"5: PREGÃO                                            ",45,78280205000000045,Presencial,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/78280205000000045/itens
