no_cidade,nome_da_nidade,gid,valor,taxa
"Palminópolis","<i>Palminópolis</i>","7616","<b>0</b>","0"
"Ituberá","<i>Ituberá</i>","7965","<b>2</b>","2"
"Piau","<i>Piau</i>","10796","<b>0</b>","0"
"João Neiva","<i>João Neiva</i>","11105","<b>1</b>","1"
"Pato Branco","<i>Pato Branco</i>","5990","<b>6</b>","6"
"Mesópolis","<i>Mesópolis</i>","8604","<b>0</b>","0"
"Vitor Meireles","<i>Vitor Meireles</i>","6421","<b>1</b>","1"
"Ivorá","<i>Ivorá</i>","9488","<b>0</b>","0"
"Doutor Severiano","<i>Doutor Severiano</i>","6462","<b>0</b>","0"
"Nova Olinda do Norte","<i>Nova Olinda do Norte</i>","10177","<b>3</b>","3"
"Monjolos","<i>Monjolos</i>","10702","<b>0</b>","0"
"Américo de Campos","<i>Américo de Campos</i>","8291","<b>1</b>","1"
"Terenos","<i>Terenos</i>","9845","<b>1</b>","1"
"Curralinho","<i>Curralinho</i>","5616","<b>11</b>","11"
"Barão do Triunfo","<i>Barão do Triunfo</i>","9305","<b>0</b>","0"
"Paulistana","<i>Paulistana</i>","7046","<b>1</b>","1"
"Brodowski","<i>Brodowski</i>","8360","<b>3</b>","3"
"Amaporã","<i>Amaporã</i>","5743","<b>0</b>","0"
"Armazém","<i>Armazém</i>","6152","<b>0</b>","0"
"Pinhão","<i>Pinhão</i>","6001","<b>0</b>","0"
"Governador Mangabeira","<i>Governador Mangabeira</i>","7902","<b>2</b>","2"
"Bernardino Batista","<i>Bernardino Batista</i>","6623","<b>1</b>","1"
"Catingueira","<i>Catingueira</i>","6651","<b>0</b>","0"
"Epitaciolândia","<i>Epitaciolândia</i>","6876","<b>2</b>","2"
"Simões Filho","<i>Simões Filho</i>","8138","<b>5</b>","5"
"Herval","<i>Herval</i>","9421","<b>1</b>","1"
"José Raydan","<i>José Raydan</i>","10627","<b>1</b>","1"
"Formiga","<i>Formiga</i>","10502","<b>1</b>","1"
"Santa Vitória do Palmar","<i>Santa Vitória do Palmar</i>","9643","<b>4</b>","4"
"Central","<i>Central</i>","7856","<b>1</b>","1"
"Frei Miguelinho","<i>Frei Miguelinho</i>","9912","<b>3</b>","3"
"Jandaíra","<i>Jandaíra</i>","6484","<b>1</b>","1"
"Roseira","<i>Roseira</i>","8768","<b>0</b>","0"
"Tibagi","<i>Tibagi</i>","6110","<b>1</b>","1"
"Salto do Jacuí","<i>Salto do Jacuí</i>","9628","<b>3</b>","3"
"Guaramiranga","<i>Guaramiranga</i>","7184","<b>1</b>","1"
"Andorinha","<i>Andorinha</i>","7777","<b>1</b>","1"
"Tucuruí","<i>Tucuruí</i>","5711","<b>8</b>","8"
"Atalaia","<i>Atalaia</i>","10036","<b>5</b>","5"
"Santo Cristo","<i>Santo Cristo</i>","9651","<b>0</b>","0"
"Jardim","<i>Jardim</i>","7211","<b>3</b>","3"
"Paranapuã","<i>Paranapuã</i>","8674","<b>1</b>","1"
"Presidente Dutra","<i>Presidente Dutra</i>","9204","<b>0</b>","0"
"Ivatuba","<i>Ivatuba</i>","5898","<b>0</b>","0"
"Ipuaçu","<i>Ipuaçu</i>","6250","<b>1</b>","1"
"Sorriso","<i>Sorriso</i>","7425","<b>3</b>","3"
"Porto União","<i>Porto União</i>","6337","<b>2</b>","2"
"Taquari","<i>Taquari</i>","9714","<b>3</b>","3"
"Boa Vista do Buricá","<i>Boa Vista do Buricá</i>","9316","<b>2</b>","2"
"Monção","<i>Monção</i>","9175","<b>5</b>","5"
"Presidente Castelo Branco","<i>Presidente Castelo Branco</i>","6017","<b>0</b>","0"
"Tupã","<i>Tupã</i>","8887","<b>2</b>","2"
"Muribeca","<i>Muribeca</i>","7727","<b>0</b>","0"
"Juruti","<i>Juruti</i>","5635","<b>1</b>","1"
"Batalha","<i>Batalha</i>","10039","<b>2</b>","2"
"Cubatão","<i>Cubatão</i>","8420","<b>5</b>","5"
"Silvânia","<i>Silvânia</i>","7666","<b>2</b>","2"
"Rio Negrinho","<i>Rio Negrinho</i>","6352","<b>1</b>","1"
"Frutuoso Gomes","<i>Frutuoso Gomes</i>","6472","<b>1</b>","1"
"Caturité","<i>Caturité</i>","6653","<b>1</b>","1"
"Missão Velha","<i>Missão Velha</i>","7229","<b>9</b>","9"
"Nova Trento","<i>Nova Trento</i>","6304","<b>1</b>","1"
"Nantes","<i>Nantes</i>","8631","<b>2</b>","2"
"São Lourenço da Mata","<i>São Lourenço da Mata</i>","10003","<b>2</b>","2"
"Planaltina do Paraná","<i>Planaltina do Paraná</i>","6006","<b>0</b>","0"
"Braga","<i>Braga</i>","9327","<b>1</b>","1"
"Magalhães de Almeida","<i>Magalhães de Almeida</i>","9163","<b>2</b>","2"
"Boracéia","<i>Boracéia</i>","8353","<b>1</b>","1"
"Colônia do Piauí","<i>Colônia do Piauí</i>","6953","<b>2</b>","2"
"Montanha","<i>Montanha</i>","11113","<b>1</b>","1"
"Marapoama","<i>Marapoama</i>","8595","<b>1</b>","1"
"Sentinela do Sul","<i>Sentinela do Sul</i>","9698","<b>0</b>","0"
"Alagoinhas","<i>Alagoinhas</i>","7769","<b>8</b>","8"
"Sud Mennucci","<i>Sud Mennucci</i>","8853","<b>1</b>","1"
"Sapopema","<i>Sapopema</i>","6092","<b>1</b>","1"
"Alcinópolis","<i>Alcinópolis</i>","9770","<b>0</b>","0"
"Pedra Dourada","<i>Pedra Dourada</i>","10783","<b>0</b>","0"
"Curimatá","<i>Curimatá</i>","6959","<b>4</b>","4"
"Sagrada Família","<i>Sagrada Família</i>","9626","<b>1</b>","1"
"Edéia","<i>Edéia</i>","7522","<b>1</b>","1"
"Potiretama","<i>Potiretama</i>","7262","<b>3</b>","3"
"Itaquara","<i>Itaquara</i>","7958","<b>3</b>","3"
"Maravilhas","<i>Maravilhas</i>","10669","<b>1</b>","1"
"Doutor Ricardo","<i>Doutor Ricardo</i>","9411","<b>0</b>","0"
"José Bonifácio","<i>José Bonifácio</i>","8561","<b>0</b>","0"
"Luzilândia","<i>Luzilândia</i>","7011","<b>5</b>","5"
"Japorã","<i>Japorã</i>","9811","<b>2</b>","2"
"Carlinda","<i>Carlinda</i>","7326","<b>3</b>","3"
"Senador La Rocque","<i>Senador La Rocque</i>","9251","<b>3</b>","3"
"Campina das Missões","<i>Campina das Missões</i>","9341","<b>1</b>","1"
"Buíque","<i>Buíque</i>","9877","<b>4</b>","4"
"Guarani das Missões","<i>Guarani das Missões</i>","9461","<b>1</b>","1"
"Guararema","<i>Guararema</i>","8478","<b>0</b>","0"
"Armação dos Búzios","<i>Armação dos Búzios</i>","8183","<b>7</b>","7"
"Fernando Prestes","<i>Fernando Prestes</i>","8449","<b>0</b>","0"
"Sapucaia","<i>Sapucaia</i>","5701","<b>0</b>","0"
"Parnaíba","<i>Parnaíba</i>","7042","<b>16</b>","16"
"Sarzedo","<i>Sarzedo</i>","10980","<b>3</b>","3"
"Ministro Andreazza","<i>Ministro Andreazza</i>","6855","<b>1</b>","1"
"Capela Nova","<i>Capela Nova</i>","10344","<b>0</b>","0"
"Agrolândia","<i>Agrolândia</i>","6135","<b>1</b>","1"
"Santa Bárbara do Pará","<i>Santa Bárbara do Pará</i>","5680","<b>2</b>","2"
"Leopoldo de Bulhões","<i>Leopoldo de Bulhões</i>","7574","<b>1</b>","1"
"Lagoa do Tocantins","<i>Lagoa do Tocantins</i>","8982","<b>1</b>","1"
